=== SECTION 1: INDIVIDUAL VEHICLE TRACKING LOG ===,,,,,,,,,,,,,,,
Vehicle_ID,Origin_Zone,Destination_Zone,Trip_Status,Avg_Speed_KMH,Detection_Count,,Completed,Active_In_Site,,,,,,,
1,1in,4out,Completed,12.3,454,,12,9,,,,,,,
2,1out,None,Active_In_Site,12,40,,,,,,,,,,
3,4out,None,Active_In_Site,12.4,29,,,,,,,,,,
4,4in,1out,Completed,17.1,135,,,,,,,,,,
5,1out,None,Active_In_Site,16.1,25,,,,,,,,,,
6,3out,None,Active_In_Site,13.6,35,,,,,,,,,,
7,1in,2out,Completed,8.1,291,,,,,,,,,,
8,4in,1out,Completed,14.5,125,,,,,,,,,,
9,2in,4out,Completed,17.7,214,,,,,,,,,,
10,4in,1out,Completed,16,119,,,,,,,,,,
11,4in,2out,Completed,15.3,260,,,,,,,,,,
12,2in,4out,Completed,11.9,325,,,,,,,,,,
13,4in,2out,Completed,16.8,239,,,,,,,,,,
14,4in,1out,Completed,16.5,111,,,,,,,,,,
16,3in,None,Active_In_Site,2.2,142,,,,,,,,,,
17,4in,1out,Completed,17.4,103,,,,,,,,,,
21,2in,None,Active_In_Site,14.1,175,,,,,,,,,,
22,2in,None,Active_In_Site,14.5,124,,,,,,,,,,
23,1in,None,Active_In_Site,4.4,125,,,,,,,,,,
24,4in,1out,Completed,16.6,110,,,,,,,,,,
25,4in,None,Active_In_Site,13.5,70,,,,,,,,,,
,,,,,,,,,,,,,,,
=== SECTION 2: ORIGIN-DESTINATION (OD) MATRIX ===,,,,,,,,,,,,,,,
Origin / Destination,1out,2out,3out,4out,Total Origin,,,,,,,,,,
1in,0,1,0,1,2,,,,,,,,,,
2in,0,0,0,2,2,,,,,,,,,,
3in,0,0,0,0,0,,,,,,,,,,
4in,6,2,0,0,8,,,,,,,,,,
Total Destination,6,3,0,3,12,,,,,,,,,,
,,,,,,,,,,,,,,,
=== SECTION 3: ROUTE DETAILED STATISTICS ===,,,,,,,,,,,,,,,
Rank,Origin,Destination,Vehicles Count,Percentage (%),Avg Speed (KM/H),,,,,,,,,,
1,4in,1out,6,50.00%,18.9,,,,,,,,,,
2,2in,4out,2,16.67%,18.1,,,,,,,,,,
3,4in,2out,2,16.67%,19.9,,,,,,,,,,
4,1in,2out,1,8.33%,13.4,,,,,,,,,,
5,1in,4out,1,8.33%,18.5,,,,,,,,,,
